ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
37,CDH23-harmonin transmembrane complex,Mouse,Q99PF4;Q9ES64,22295;72088,Cadherin-23 ;Harmonin,Cdh23;Ush1c,None,;
39,immunoproteasome,Mouse,O09061;O35955;O70435;P28063;P28076;P49722;P99026;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,Proteasome subunit beta type-1 ;Proteasome subunit beta type-10 ;Proteasome subunit alpha type-3 ;Proteasome subunit beta type-8 ;Proteasome subunit beta type-9 ;Proteasome subunit alpha type-2 ;Proteasome subunit beta type-4 ;Proteasome subunit alpha type-6 ;Proteasome subunit alpha type-4 ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-7 ;Proteasome subunit alpha type-5,Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",;Lmp10 Mecl1;;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;;;;;;;
41,Mi-2/NuRD-MTA2 complex,Human,O94776;O95983;P41182;Q13547;Q9BTC8,9219;53615;604;3065;57504,Metastasis-associated protein MTA2 ;Methyl-CpG-binding domain protein 3 ;B-cell lymphoma 6 protein ;Histone deacetylase 1 ;Metastasis-associated protein MTA3,MTA2;MBD3;BCL6;HDAC1;MTA3,None,MTA1L1 PID;;BCL5 LAZ3 ZBTB27 ZNF51;RPD3L1;KIAA1266
42,CASK-MINT-VELI tripartite complex,Rat,O35430;Q62915;Q792I0;Q9Z250;Q9Z252,83589;29647;60442;85327;60377,Amyloid beta A4 precursor protein-binding family A member 1 ;Peripheral plasma membrane protein CASK ;Protein lin-7 homolog C ;Protein lin-7 homolog A ;Protein lin-7 homolog B,Apba1;Cask;Lin7c;Lin7a;Lin7b,This complex acts as a nucleation site for the assembly of proteins involved in synaptic vesicle exocytosis and synaptic junctions.,Mint1 X11;;Mals3 Veli3;Mals1 Veli1;Mals2 Veli1a Veli2
45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant)",Human,P49768;Q92542;Q96BI3;Q9NZ42,5663;23385;51107;55851,Presenilin-1 ;Nicastrin;Gamma-secretase subunit APH-1A ;Gamma-secretase subunit PEN-2,PSEN1;NCSTN;APH1A;PSENEN,"Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes.",AD3 PS1 PSNL1;KIAA0253;PSF;PEN2
46,AP2 adaptor complex,Mammalia,P17427;P62743;P63010;P84092,11772;232910;163;116563,AP-2 complex subunit alpha-2 ;AP-2 complex subunit sigma ;AP-2 complex subunit beta ;AP-2 complex subunit mu,Ap2a2;Ap2s1;AP2B1;Ap2m1,None,Adtab;Ap17 Claps2;ADTB2 CLAPB1;
47,DNA polymerase alpha-primase complex,Mouse,P20664;P33609;P33610;P33611,19075;18968;19076;18969,DNA primase small subunit ;DNA polymerase alpha catalytic subunit ;DNA primase large subunit ;DNA polymerase alpha subunit B,Prim1;Pola1;Prim2;Pola2,"In growing mouse FM3A cells, the transcripts of the four subunits are present throughout the cell cycle and increase slightly prior to the S phase.",;Pola;;
48,RGS7-Gbeta5-Galphaq complex,Mammalia,O46470;P21279;P62881,281452;14682;14697,Regulator of G-protein signaling 7 ;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit beta-5,RGS7;Gnaq;Gnb5,None,;;
49,DNMT3B complex,Human,O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3,8467;24137;10592;3065;25942;10051;1789,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ;Chromosome-associated kinesin KIF4A ;Structural maintenance of chromosomes protein 2 ;Histone deacetylase 1 ;Paired amphipathic helix protein Sin3a ;Structural maintenance of chromosomes protein 4 ;DNA,SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B,None,SNF2H WCRF135;KIF4;CAPE SMC2L1;RPD3L1;;CAPC SMC4L1;
50,Rab5 GDP/GTP exchange factor complex,Mouse,O35551;Q9JM13,54189;56715,Rab GTPase-binding effector protein 1 ;Rab5 GDP/GTP exchange factor,Rabep1;Rabgef1,This complex is essential for endocytic membrane fusion.,Rab5ep Rabpt5 Rabpt5a;Rabex5
52,CCT complex (chaperonin containing TCP1 complex),Mouse,P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318,21454;12469;12468;12461;12464;12465;None;12462,T-complex protein 1 subunit alpha ;T-complex protein 1 subunit theta ;T-complex protein 1 subunit eta ;T-complex protein 1 subunit beta ;T-complex protein 1 subunit delta ;T-complex protein 1 subunit epsilon ;T-complex protein 1 subunit zeta ;T-complex protein 1 subunit gamma,Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3,"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. The gene product of Cct6b has only been detected in testis, whereas the other Cctz gene, Cctz-1, is expressed in all tissues investigated. Sequence analysis of the TriC subunits was shown in PMID:9013858, PMID:2377466, PMID:7953530 and PMID:7890169.",Cct1 Ccta;Cctq;Ccth;Cctb;Cctd;Ccte Kiaa0098;Cct6 Cctz Cctz1;Cctg
53,Gbeta5-rgs7 complex,Rat,P49803;P62882,54296;83579,Regulator of G-protein signaling 7 ;Guanine nucleotide-binding protein subunit beta-5,Rgs7;Gnb5,"The authors demonstrated the presence of the heterodimeric RGS7/Gb5 complex throughout many areas of the adult rat brain, with a role as yet undefined on the dynamics of typical Gbg-mediated neuronal pathway activation/desensitization mechanisms.",;
55,HDAC4-ERK1 complex,Human,P27361;P56524,5595;9759,Mitogen-activated protein kinase 3 ;Histone deacetylase 4,MAPK3;HDAC4,"ERK1 activity links the Ras-MAPK signal transduction pathway to a mechanism for chromatin remodeling (i.e., histone deacetylation).",ERK1 PRKM3;KIAA0288
56,Elongin (SIII) complex,Rat,P62870;P83941;Q63187,81807;64525;25562,Transcription elongation factor B polypeptide 2 ;Transcription elongation factor B polypeptide 1 ;Transcription elongation factor B polypeptide 3,Tceb2;Tceb1;Tceb3,"The elongin (SIII) complex strongly stimulates the rate of elongation by RNA polymerase II by suppressing transient pausing by polymerase at many sites along the DNA. In mammals, elongin is a trimeric complex. Elongin A is the catalytic subunit. Elongins B and C form a binary complex that is capable of enhancing the transcriptional activity of elongin A.",;;
57,HDAC4-ERK2 complex,Human,P28482;P56524,5594;9759,Mitogen-activated protein kinase 1 ;Histone deacetylase 4,MAPK1;HDAC4,None,ERK2 PRKM1 PRKM2;KIAA0288
58,SMRT complex,Human,O15379;O60907;Q13227;Q9BZK7;Q9Y618,8841;6907;2874;79718;9612,Histone deacetylase 3 ;F-box-like/WD repeat-containing protein TBL1X ;G protein pathway suppressor 2 ;F-box-like/WD repeat-containing protein TBL1XR1 ;Nuclear receptor corepressor 2,HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2,"IR10, a subunit of the N-CoR complex, does not associate with SMRT (NCOR2).",;TBL1;;IRA1 TBLR1;CTG26
59,AP3 adapter complex,Human,O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2,8546;8943;10947;10239;8120;1176;26985,AP-3 complex subunit beta-1 ;AP-3 complex subunit delta-1 ;AP-3 complex subunit mu-2 ;AP-3 complex subunit sigma-2 ;AP-3 complex subunit beta-2 ;AP-3 complex subunit sigma-1 ;AP-3 complex subunit mu-1,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1,None,ADTB3A;;;;;CLAPS3;
60,Interferon-stimulated gene factor 3 transcription complex ISGF3,Human,P42224;P52630;Q00978,6772;6773;10379,Signal transducer and activator of transcription 1-alpha/beta ;Signal transducer and activator of transcription 2 ;Interferon regulatory factor 9,STAT1;STAT2;IRF9,The p48 and Stat1:2 heterodimer do not associate stably in the absence of DNA.,;;ISGF3G
61,Mi2/NuRD complex,Human,O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769,9219;53615;5928;3065;1108;5931;3066,Metastasis-associated protein MTA2 ;Methyl-CpG-binding domain protein 3 ;Histone-binding protein RBBP4 ;Histone deacetylase 1 ;Chromodomain-helicase-DNA-binding protein 4 ;Histone-binding protein RBBP7 ;Histone deacetylase 2,MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2,None,MTA1L1 PID;;RBAP48;RPD3L1;;RBAP46;
65,Multiprotein trafficking complex,Rat,O35430;P52188;Q62696;Q62915;Q792I0,83589;117052;25252;29647;60442,Amyloid beta A4 precursor protein-binding family A member 1 ;ATP-sensitive inward rectifier potassium channel 12 ;Disks large homolog 1 ;Peripheral plasma membrane protein CASK ;Protein lin-7 homolog C,Apba1;Kcnj12;Dlg1;Cask;Lin7c,This macromolecular complex participates in trafficking and plasma membrane localization of Kir2 channels (PMID:14960569).,Mint1 X11;Irk2;Dlgh1;;Mals3 Veli3
67,AP4 adaptor complex,Human,O00189;Q9UPM8;Q9Y587;Q9Y6B7,9179;23431;11154;10717,AP-4 complex subunit mu-1 ;AP-4 complex subunit epsilon-1 ;AP-4 complex subunit sigma-1 ;AP-4 complex subunit beta-1,AP4M1;AP4E1;AP4S1;AP4B1,Adaptor protein complexes (APs) function as vesicle coat components in different membrane traffic pathways.,MUARP2;;;
69,ApoB RNA editing enzyme complex,Rat,P38483;Q923K9;Q99PF5,25383;170912;171137,C->U-editing enzyme APOBEC-1 ;APOBEC1 complementation factor ;Far upstream element-binding protein 2,Apobec1;A1cf;Khsrp,"In rat liver, ASP is apparently associated with KSRP, which may confer stability to the editing enzyme-complex with its substrate apoB RNA serving as an additional auxiliary component.",;Acf Asp;Fubp2
70,CLIC4 complex,Rat,P07335;P39052;P60711;P62260;P63102;P68370;Q9Z0W7,24264;25751;81822;29753;25578;64158;83718,"Creatine kinase B-type ;Dynamin-2 ;Actin, cytoplasmic 1 ;14-3-3 protein epsilon ;14-3-3 protein zeta/delta ;Tubulin alpha-1A chain ;Chloride intracellular channel protein 4",Ckb;Dnm2;Actb;Ywhae;Ywhaz;Tuba1a;Clic4,None,Ckbb;Dyn2;;;Msfs1;Tuba1;
74,TRPC1-Homer3-IP3R complex,Mammalia,P48995;Q14643;Q9Z2X5,7220;3708;29548,"Short transient receptor potential channel 1 ;Inositol 1,4,5-trisphosphate receptor type 1 ;Homer protein homolog 3",TRPC1;ITPR1;Homer3,"The authors demonstrate that the adaptor protein, termed Homer, facilitates a physical association between TRPC1 and the IP(3)R that is required for the TRP channel to respond to signals.",TRP1;INSP3R1;Vesl3
75,TSC1-TSC2 complex,Human,P49815;Q92574,7249;7248,Tuberin ;Hamartin,TSC2;TSC1,"TSC1 and TSC2 form a functional complex and inhibit the phosphorylation of S6K and 4EBP1, two key regulators of translation.",TSC4;KIAA0243 TSC
76,Cytoplasmic dynein complex,Rat,P38650;P62628;P63036;P63170;Q62871;Q63100;Q9JJ79;Q9QXU8;Q9Z336,29489;170714;65028;58945;116659;29564;65209;252902;83462,"Cytoplasmic dynein 1 heavy chain 1 ;Dynein light chain roadblock-type 1 ;DnaJ homolog subfamily A member 1 ;Dynein light chain 1, cytoplasmic ;Cytoplasmic dynein 1 intermediate chain 2 ;Cytoplasmic dynein 1 intermediate chain 1 ;Cytoplasmic dynein 2 heavy chain 1 ;Cytoplasmic dynein 1 light intermediate chain 1 ;Dynein light chain Tctex-type 1",Dync1h1;Dynlrb1;Dnaja1;Dynll1;Dync1i2;Dync1i1;Dync2h1;Dync1li1;Dynlt1,"Cytoplasmic dynein  is involved in functions as diverse as spindle-pole organization and nuclear migration during mitosis, the positioning and functioning of the endoplasmic reticulum, the Golgi apparatus, and the nucleus, and also the minus-end-directed transport of vesicles, including endosomes and lysosomes, along microtubules and retrograde axonal transport in neurons (PMID:16440056).",Dhc1 Dnch1 Dnchc1 Dnec1 Dyhc Map1c;Dncl2a Dnlc2a;Hsj2 Rdj1;Dncl1 Dnclc1 Pin;Dnci2 Dncic2;Dnci1 Dncic1;Dhc1b Dlp4 Dnch2 Dnchc2;Dncli1;Tctel1 Tctex-1 Tctex1
77,nNos-Capon-Dexras1 complex,Mouse,O35626;Q9D3A8;Q9Z0J4,19416;70729;18125,"Dexamethasone-induced Ras-related protein 1;Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein ;Nitric oxide synthase, brain",Rasd1;Nos1ap;Nos1,The authors describe that CAPON enhances nNOS-mediated activation of Dexras1 through the ternary complex whereby CAPON links nNOS to Dexras1.,Dexras1;Capon Kiaa0464;
79,nNos-Capon-Syn1 complex,Rat,O54960;P09951;P29476,192363;24949;24598,"Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein ;Synapsin-1 ;Nitric oxide synthase, brain",Nos1ap;Syn1;Nos1,CAPON has  been found to function as an adapter protein linking nNOS to specific targets such as Dexras1 and synapsins. The results suggest a mechanism for specific actions of NO at presynaptic sites.,Capon;;Bnos
81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",Human,P62877;P63208;Q14999;Q8N3Y1,9978;6500;9820;26259,E3 ubiquitin-protein ligase RBX1 ;S-phase kinase-associated protein 1 ;Cullin-7 ;F-box/WD repeat-containing protein 8,RBX1;SKP1;CUL7;FBXW8,Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.,RNF75 ROC1;EMC19 OCP2 SKP1A TCEB1L;KIAA0076;FBW6 FBW8 FBX29 FBXO29 FBXW6
83,Tubulin:stathmin complex,Bovine,P81948;Q3T0C7;Q6B856,None;616317;281555,Tubulin alpha-4A chain ;Stathmin;Tubulin beta-2B chain,TUBA4A;STMN1;TUBB2B,None,TUBA1;;
84,Nucleic acid channel complex,Rat,O88989;P70581,24551;245922,"Malate dehydrogenase, cytoplasmic ;Nucleoporin p58/p45",Mdh1;Nup58,None,Mdh;Nupl1
86,NUMAC complex (nucleosomal methylation activator complex),Human,O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9,8289;6597;60;6598;10498;6601;6599;6605;6602;57410,"AT-rich interactive domain-containing protein 1A ;Transcription activator BRG1 ;Actin, cytoplasmic 1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 ;Histone-arginine methyltransferase CARM1 ;SWI/SNF complex subunit SMARCC2 ;SWI/SNF complex subunit SMARCC1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 ;N-terminal kinase-like protein",ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1,"In the NUMAC complex, the methylase, CARM1, acquires the ability to covalently modify nucleosomal histones.",BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF190A BRG1 SNF2B SNF2L4;;BAF47 INI1 SNF5L1;PRMT4;BAF170;BAF155;BAF57;BAF60A;CVAK90 GKLP NTKL TAPK TEIF TRAP
87,Nup 107-160 subcomplex,Human,P52948;P55735;P57740;Q12769;Q8NFH3;Q8NFH4;Q8WUM0;Q96EE3;Q9BW27,4928;6396;57122;23279;348995;79023;55746;81929;79902,Nuclear pore complex protein Nup98-Nup96 [Cleaved into: Nuclear pore complex protein Nup98 ;Protein SEC13 homolog ;Nuclear pore complex protein Nup107 ;Nuclear pore complex protein Nup160 ;Nucleoporin Nup43 ;Nucleoporin Nup37 ;Nuclear pore complex protein Nup133 ;Nucleoporin SEH1 ;Nuclear pore complex protein Nup85,NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85,"All trafficking of macromolecules between the cytoplasm and the nucleus occurs through nuclear pore complexes (NPCs), which are supramolecular assemblies at points of fusion between the inner and outer nuclear membranes. NPCs are composed of an eightfold symmetric spoke-ring complex, cytoplasmic fibers, and a nuclear basket.",ADAR2;D3S1231E SEC13L1 SEC13R;;KIAA0197 NUP120;;;;SEC13L SEH1;NUP75 PCNT1
